0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,ocZ7FWFu
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,O6VgJkn2
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,b8I1Zkql
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,2FF6jRVk
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,B9ft3T9i
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,iAmEnM6F
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,SzySMXou
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,w3hLWCEl
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,envFGMO3
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,nQFeynDu
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,MJLf9uWG
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,k4epaDfV
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,htLZxWvL
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,7R1ZiIJt
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,ZJtZcVgI
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,dKCO87bY
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,lCnnf4OD
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,GRym0YkH
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,oXw9iKdK
19,Феклисов Константин Виталиевич,270,9т,1,Феклисов_КВ,dKVZeHy8
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,GPmt7Ws2
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,g1Y7O82K
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,y6rJRhMf
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,XMpMc56i
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,vuTWB3VB
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,7ZdHjz5i
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,u19jwCdc
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,t3SF6tpv
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,fYnDZuzN
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,YRQgSDyd
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,q1Nt1NKN
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,BCMyLBhf
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,FpiE0z6H
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,N4q7mJIG
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,M2AZEGZ0
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,JMgt2SA7
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,YsQK4lmK
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,c2aBdWiH
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,SwNMLsab
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,aQNLDZXb
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,dh1B5j2k
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,8HPxbFjw
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,ccu0upj6
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,LLMZdX5K
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,BdMKXwDd
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,h7BBcJe2
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,ePKfR0Yt
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,qruNfTBE
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,gLsSd3zm
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,QzZgOO5E
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,ylWlQirx
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,PX1wt1cy
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,yoyGsYjt
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,0A55wsKO
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,h5vM7not
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,ZhbP3EPe
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,uGKSsuEj
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,MLJBvxZw
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,7lWlzeHe
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,D5eKGuap
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,KKKmKNf1
